Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Country,Start_Year,End_Year,Career_Length,Format,Discipline,BBM,10,Overs,Mdns,Era
M Muralitharan,1993-2011,350,341.0,18811.0,12326.0,534.0,7/30,23.08,3.93,35.2,15.0,10.0,Sri Lanka,1993,2011,19,ODI,bowling,,,,,1990s
Wasim Akram,1984-2003,356,351.0,18186.0,11812.0,502.0,5/15,23.52,3.89,36.2,17.0,6.0,Pakistan,1984,2003,20,ODI,bowling,,,,,1980s
Waqar Younis,1989-2003,262,258.0,12698.0,9919.0,416.0,7/36,23.84,4.68,30.5,14.0,13.0,Pakistan,1989,2003,15,ODI,bowling,,,,,1980s
WPUJC Vaas,1994-2008,322,320.0,15775.0,11014.0,400.0,8/19,27.53,4.18,39.4,9.0,4.0,Sri Lanka,1994,2008,15,ODI,bowling,,,,,1990s
Shahid Afridi,1996-2015,398,372.0,17670.0,13632.0,395.0,7/12,34.51,4.62,44.7,4.0,9.0,Pakistan,1996,2015,20,ODI,bowling,,,,,1990s
SM Pollock,1996-2008,303,297.0,15712.0,9631.0,393.0,6/35,24.5,3.67,39.9,12.0,5.0,South Africa,1996,2008,13,ODI,bowling,,,,,1990s
GD McGrath,1993-2007,250,248.0,12970.0,8391.0,381.0,7/15,22.02,3.88,34.0,9.0,7.0,Australia,1993,2007,15,ODI,bowling,,,,,1990s
B Lee,2000-2012,221,217.0,11185.0,8877.0,380.0,5/22,23.36,4.76,29.4,14.0,9.0,Australia,2000,2012,13,ODI,bowling,,,,,2000s
SL Malinga,2004-2019,226,220.0,10936.0,9760.0,338.0,6/38,28.87,5.35,32.3,11.0,8.0,Sri Lanka,2004,2019,16,ODI,bowling,,,,,2000s
A Kumble,1990-2007,271,265.0,14496.0,10412.0,337.0,6/12,30.89,4.3,43.0,8.0,2.0,India,1990,2007,18,ODI,bowling,,,,,1990s
ST Jayasuriya,1989-2011,445,368.0,14874.0,11871.0,323.0,6/29,36.75,4.78,46.0,8.0,4.0,Sri Lanka,1989,2011,23,ODI,bowling,,,,,1980s
J Srinath,1991-2003,229,227.0,11935.0,8847.0,315.0,5/23,28.08,4.44,37.8,7.0,3.0,India,1991,2003,13,ODI,bowling,,,,,1990s
DL Vettori,1997-2015,295,277.0,14060.0,9674.0,305.0,5/7,31.71,4.12,46.0,8.0,2.0,New Zealand,1997,2015,19,ODI,bowling,,,,,1990s
SK Warne,1993-2005,194,191.0,10642.0,7541.0,293.0,5/33,25.73,4.25,36.3,12.0,1.0,Australia,1993,2005,13,ODI,bowling,,,,,1990s
AB Agarkar,1998-2007,191,188.0,9484.0,8021.0,288.0,6/42,27.85,5.07,32.9,10.0,2.0,India,1998,2007,10,ODI,bowling,,,,,1990s
Saqlain Mushtaq,1995-2003,169,165.0,8770.0,6275.0,288.0,5/20,21.78,4.29,30.4,11.0,6.0,Pakistan,1995,2003,9,ODI,bowling,,,,,1990s
Z Khan,2000-2012,200,197.0,10097.0,8301.0,282.0,5/42,29.43,4.93,35.8,7.0,1.0,India,2000,2012,13,ODI,bowling,,,,,2000s
JH Kallis,1996-2014,328,283.0,10750.0,8680.0,273.0,5/30,31.79,4.84,39.3,2.0,2.0,South Africa,1996,2014,19,ODI,bowling,,,,,1990s
AA Donald,1991-2003,164,162.0,8561.0,5926.0,272.0,6/23,21.78,4.15,31.4,11.0,2.0,South Africa,1991,2003,13,ODI,bowling,,,,,1990s
Abdul Razzaq,1996-2011,265,254.0,10941.0,8564.0,269.0,6/35,31.83,4.69,40.6,8.0,3.0,Pakistan,1996,2011,16,ODI,bowling,,,,,1990s
JM Anderson,2002-2015,194,191.0,9584.0,7861.0,269.0,5/23,29.22,4.92,35.6,11.0,2.0,England,2002,2015,14,ODI,bowling,,,,,2000s
Harbhajan Singh,1998-2015,236,227.0,12479.0,8973.0,269.0,5/31,33.35,4.31,46.3,2.0,3.0,India,1998,2015,18,ODI,bowling,,,,,1990s
Mashrafe Mortaza,2001-2019,217,217.0,10789.0,8759.0,266.0,6/26,32.92,4.87,40.5,7.0,1.0,Bangladesh,2001,2019,19,ODI,bowling,,,,,2000s
M Ntini,1998-2009,173,171.0,8687.0,6559.0,266.0,6/22,24.65,4.53,32.6,8.0,4.0,South Africa,1998,2009,12,ODI,bowling,,,,,1990s
