Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Country,Start_Year,End_Year,Career_Length,Format,Discipline
KC Sangakkara,2000-2015,404,397,501,402,99,383,19,5 (4ct 1st),1.261,Asia/ICC/SL,2000,2015,16,ODI,fielding
AC Gilchrist,1996-2008,287,286,472,417,55,417,0,6 (6ct 0st),1.65,AUS/ICC,1996,2008,13,ODI,fielding
MS Dhoni,2004-2019,350,345,444,321,123,321,0,6 (5ct 1st),1.286,Asia/INDIA,2004,2019,16,ODI,fielding
MV Boucher,1998-2011,295,291,425,403,22,402,1,6 (6ct 0st),1.46,Afr/SA,1998,2011,14,ODI,fielding
Moin Khan,1990-2004,219,217,287,214,73,214,0,5 (5ct 0st),1.3219999999999998,PAK,1990,2004,15,ODI,fielding
BB McCullum,2002-2016,260,257,277,262,15,227,35,5 (5ct 0st),1.077,NZ,2002,2016,15,ODI,fielding
IA Healy,1988-1997,168,168,233,194,39,194,0,4 (4ct 0st),1.386,AUS,1988,1997,10,ODI,fielding
Mushfiqur Rahim,2006-2019,216,215,225,181,44,179,2,5 (5ct 0st),1.046,BDESH,2006,2019,14,ODI,fielding
Rashid Latif,1992-2003,166,164,220,182,38,182,0,5 (5ct 0st),1.341,PAK,1992,2003,12,ODI,fielding
DPMD Jayawardene,1998-2015,448,443,218,218,0,0,218,4 (4ct 0st),0.492,Asia/SL,1998,2015,18,ODI,fielding
R Dravid,1996-2011,344,341,210,196,14,72,124,4 (4ct 0st),0.615,Asia/ICC/INDIA,1996,2011,16,ODI,fielding
RS Kaluwitharana,1990-2004,189,188,207,132,75,131,1,5 (4ct 1st),1.101,SL,1990,2004,15,ODI,fielding
PJL Dujon,1981-1991,169,168,204,183,21,183,0,4 (4ct 0st),1.214,WI,1981,1991,11,ODI,fielding
JC Buttler,2012-2019,142,138,202,171,31,171,0,6 (6ct 0st),1.463,ENG,2012,2019,8,ODI,fielding
RD Jacobs,1996-2004,147,145,189,160,29,160,0,6 (5ct 1st),1.3030000000000002,WI,1996,2004,9,ODI,fielding
Kamran Akmal,2002-2017,157,154,188,157,31,156,1,5 (4ct 1st),1.22,PAK,2002,2017,16,ODI,fielding
D Ramdin,2005-2016,139,137,188,181,7,181,0,5 (5ct 0st),1.372,WI,2005,2016,12,ODI,fielding
AB de Villiers,2005-2018,228,223,181,176,5,93,83,5 (5ct 0st),0.8109999999999999,Afr/SA,2005,2018,14,ODI,fielding
BJ Haddin,2001-2015,126,124,181,170,11,170,0,5 (5ct 0st),1.459,AUS,2001,2015,15,ODI,fielding
AJ Stewart,1989-2003,170,169,174,159,15,148,11,6 (6ct 0st),1.029,ENG,1989,2003,15,ODI,fielding
A Flower,1992-2003,213,212,173,141,32,133,8,5 (5ct 0st),0.816,ZIM,1992,2003,12,ODI,fielding
Q de Kock,2013-2019,115,111,166,158,8,158,0,6 (5ct 1st),1.495,SA,2013,2019,7,ODI,fielding
DJ Richardson,1991-1998,122,121,165,148,17,148,0,5 (5ct 0st),1.3630000000000002,SA,1991,1998,8,ODI,fielding
RT Ponting,1995-2012,375,372,160,160,0,0,160,3 (3ct 0st),0.43,AUS/ICC,1995,2012,18,ODI,fielding
M Azharuddin,1985-2000,334,332,156,156,0,0,156,4 (4ct 0st),0.469,INDIA,1985,2000,16,ODI,fielding
NR Mongia,1994-2000,140,139,154,110,44,110,0,5 (4ct 1st),1.107,INDIA,1994,2000,7,ODI,fielding
BRM Taylor,2004-2019,193,193,154,125,29,96,29,5 (5ct 0st),0.797,ZIM,2004,2019,16,ODI,fielding
T Taibu,2001-2012,150,150,147,114,33,112,2,4 (4ct 0st),0.98,Afr/ZIM,2001,2012,12,ODI,fielding
AC Parore,1992-2002,179,178,141,116,25,111,5,5 (3ct 2st),0.792,NZ,1992,2002,11,ODI,fielding
Sarfaraz Ahmed,2007-2019,116,114,140,116,24,116,0,6 (6ct 0st),1.228,PAK,2007,2019,13,ODI,fielding
SR Tendulkar,1989-2012,463,456,140,140,0,0,140,4 (4ct 0st),0.307,INDIA,1989,2012,24,ODI,fielding
LRPL Taylor,2006-2019,228,224,137,137,0,0,137,4 (4ct 0st),0.611,NZ,2006,2019,14,ODI,fielding
Younis Khan,2000-2015,265,260,135,135,0,5,130,4 (4ct 0st),0.519,PAK,2000,2015,16,ODI,fielding
SP Fleming,1994-2007,280,276,133,133,0,0,133,4 (4ct 0st),0.481,ICC/NZ,1994,2007,14,ODI,fielding
JH Kallis,1996-2014,328,324,131,131,0,0,131,3 (3ct 0st),0.4039999999999999,Afr/ICC/SA,1996,2014,19,ODI,fielding
M Muralitharan,1993-2011,350,347,130,130,0,0,130,3 (3ct 0st),0.374,Asia/ICC/SL,1993,2011,19,ODI,fielding
AR Border,1979-1994,273,270,127,127,0,0,127,3 (3ct 0st),0.47,AUS,1979,1994,16,ODI,fielding
Shahid Afridi,1996-2015,398,392,127,127,0,0,127,2 (2ct 0st),0.3229999999999999,Asia/ICC/PAK,1996,2015,20,ODI,fielding
Khaled Mashud,1995-2006,126,126,126,91,35,91,0,5 (3ct 2st),1.0,BDESH,1995,2006,12,ODI,fielding
TM Dilshan,1999-2016,330,325,124,123,1,5,118,3 (3ct 0st),0.381,SL,1999,2016,18,ODI,fielding
